"Director"	"Year"	"AvgAS"	"AvgCS"
"Alan White"	2014	58.9204152249135	58.8304498269896
"Alan Zaslove"	1994	58.8551724137931	58.7413793103448
"Alastair Fothergill"	2005	58.9278350515464	58.7697594501718
"Alastair Fothergill"	2009	59.0068493150685	58.8630136986301
"Alastair Fothergill"	2011	59.0682593856655	58.9044368600683
"Alastair Fothergill"	2012	59.1224489795918	58.9591836734694
"Alastair Fothergill"	2014	59.1864406779661	59.0610169491525
"Alastair Fothergill"	2015	59.2432432432432	59.1790540540541
"Alastair Orr"	2017	59.2626262626263	59.1919191919192
"Alban Teurlai"	2017	59.2046979865772	59.2315436241611
"Albert Band"	1988	59.1036789297659	59.0334448160535
"Albert Brooks"	1979	59.1833333333333	59.1333333333333
"Albert Brooks"	1981	59.21926910299	59.21926910299
"Albert Brooks"	1985	59.2781456953642	59.3443708609271
"Albert Brooks"	1991	59.3531353135314	59.4686468646865
"Albert Brooks"	1996	59.4046052631579	59.5690789473684
"Albert Brooks"	1999	59.3213114754098	59.544262295082
"Albert Heath"	1940	59.3986928104575	59.6633986928105
"Albert Hughes"	1993	59.5081433224756	59.7361563517915
"Albert Hughes"	1995	59.5681818181818	59.6883116883117
"Albert Hughes"	2010	59.5825242718447	59.6472491909385
"Albert Lewin"	1945	59.6354838709677	59.7483870967742
"Albert Magnoli"	1984	59.6945337620579	59.7749196141479
"Albert Magnoli"	1986	59.7083333333333	59.5833333333333
"Albert Maysles"	1968	59.7987220447284	59.7124600638978
"Albert Maysles"	1970	59.8980891719745	59.8407643312102
"Albert Maysles"	1975	59.9777777777778	59.9460317460317
"Albert Maysles"	2008	59.9778481012658	60.0189873417722
"Albert Maysles"	2015	60.0410094637224	60.1388012618297
"Albert Parker"	1926	60.062893081761	60.2641509433962
"Albert Pyun"	1987	59.8871473354232	60.0752351097179
"Albert Pyun"	1989	59.79375	59.93125
"Albert Pyun"	1990	59.5714285714286	59.6459627329193
"Alberto Arvelo"	2014	59.5882352941176	59.5789473684211
"Alberto Cavalcanti"	1945	59.6728395061728	59.6944444444444
"Alberto Lattuada"	1964	59.7384615384615	59.8061538461538
"Alberto Marini"	2016	59.6717791411043	59.7576687116564
"Alec Gillis"	2015	59.5443425076453	59.7064220183486
"Alejandro Agresti"	2004	59.6463414634146	59.7103658536585
"Alejandro Agresti"	2006	59.6869300911854	59.6352583586626
"Alejandro Amenábar"	1996	59.7757575757576	59.669696969697
"Alejandro Amenábar"	1999	59.8610271903323	59.7462235649547
"Alejandro Amenábar"	2001	59.9126506024096	59.816265060241
"Alejandro Amenábar"	2004	60.009009009009	59.8888888888889
"Alejandro Amenábar"	2010	60.0209580838323	59.8682634730539
"Alejandro Amenábar"	2016	59.9044776119403	59.734328358209
"Alejandro Brugués"	2012	59.9166666666667	59.7946428571429
"Alejandro Brugués"	2014	59.8516320474777	59.8456973293769
"Alejandro Chomski"	2007	59.7988165680473	59.7041420118343
"Alejandro Chomski"	2009	59.6902654867257	59.5280235988201
"Alejandro Garmendia"	2008	59.7647058823529	59.5823529411765
"Alejandro González Iñárritu"	2001	59.8651026392962	59.6774193548387
"Alejandro González Iñárritu"	2003	59.9415204678363	59.7368421052632
"Alejandro González Iñárritu"	2006	59.9912536443149	59.7638483965015
"Alejandro González Iñárritu"	2010	60.0348837209302	59.7790697674419
"Alejandro González Iñárritu"	2014	60.0840579710145	59.8724637681159
"Alejandro González Iñárritu"	2015	60.1531791907514	59.9306358381503
"Alejandro Jodorowsky"	1970	60.2614942528736	60.0028735632184
"Alejandro Jodorowsky"	1973	60.3438395415473	60.0630372492837
"Alejandro Jodorowsky"	1990	60.42	60.1342857142857
"Alejandro Jodorowsky"	2017	60.4871794871795	60.2307692307692
"Alejandro Monteverde"	2006	60.5454545454545	60.1846590909091
"Alejandro Monteverde"	2015	60.5949008498584	60.0793201133144
"Alek Keshishian"	1991	60.6214689265537	60.1468926553672
"Alek Keshishian"	1994	60.656338028169	60.0253521126761
"Aleksander Bach"	2015	60.5983146067416	59.8820224719101
"Aleksander L. Nordaas"	2013	60.5210084033613	59.8683473389356
"Aleksandr Sokurov"	2007	60.5446927374302	59.9469273743017
"Aleksandr Sokurov"	2016	60.5069637883008	60.016713091922
"Aleksei Fedorchenko"	2011	60.55	60.1166666666667
"Aleksei Popogrebsky"	2010	60.5678670360111	60.1689750692521
"Alessandro Carloni"	2016	60.6160220994475	60.2403314917127
"Alethea Jones"	2017	60.5619834710744	60.1707988980716
"Alex Brewer"	2016	60.4725274725275	60.1785714285714
"Alex Chandon"	2011	60.386301369863	60.0493150684932
"Alex Cox"	1984	60.4371584699454	60.1530054644809
"Alex Cox"	1987	60.4305177111717	60.0926430517711
"Alex Cox"	1997	60.2961956521739	59.9755434782609
"Alex Craig Mann"	2013	60.2005420054201	59.9485094850949
"Alex De Rakoff"	2009	60.1756756756757	59.8243243243243
"Alex Garland"	2015	60.2452830188679	59.911051212938
"Alex Gibney"	2002	60.2849462365591	60.005376344086
"Alex Gibney"	2005	60.3538873994638	60.1045576407507
"Alex Gibney"	2008	60.4117647058824	60.1737967914438
"Alex Gibney"	2010	60.4986737400531	60.3289124668435
"Alex Gibney"	2011	60.505291005291	60.3544973544974
"Alex Gibney"	2012	60.5831134564644	60.4538258575198
"Alex Gibney"	2013	60.7146596858639	60.6701570680628
"Alex Gibney"	2014	60.7310704960836	60.6631853785901
"Alex Gibney"	2015	60.7948051948052	60.7922077922078
"Alex Holdridge"	2015	60.7901554404145	60.7642487046632
"Alex Kendrick"	2006	60.8527131782946	60.640826873385
"Alex Kendrick"	2008	60.9072164948454	60.5876288659794
"Alex Kendrick"	2011	60.9717223650386	60.5089974293059
"Alex Kendrick"	2015	61.0384615384615	60.4384615384615
"Alex Keshishian"	1994	61.0690537084399	60.3273657289003
"Alex Kurtzman"	2012	61.0714285714286	60.3086734693878
"Alex Kurtzman"	2017	61.0050890585242	60.1959287531807
"Alex LeMay"	2007	60.992385786802	60.241116751269
"Alex Pastor"	2009	60.9367088607595	60.2556962025316
"Alex Pastor"	2014	60.9015151515151	60.3257575757576
"Alex Proyas"	2003	60.9017632241814	60.2821158690176
"Alex Proyas"	2004	60.9246231155779	60.2738693467337
"Alex Proyas"	2009	60.8771929824561	60.2055137844612
"Alex Proyas"	2016	60.815	60.0925
"Alex Rivera"	2009	60.788029925187	60.1172069825436
"Alex Ross Perry"	2012	60.7761194029851	60.1567164179104
"Alex Ross Perry"	2014	60.7617866004963	60.2158808933002
"Alex Ross Perry"	2015	60.7549504950495	60.2945544554455
"Alex Ross Perry"	2018	60.7358024691358	60.3135802469136
"Alex Rotaru"	2012	60.7783251231527	60.3793103448276
"Alex Smith"	2002	60.7371007371007	60.4127764127764
"Alex Smith"	2014	60.7745098039216	60.421568627451
"Alex Smith"	2017	60.7750611246944	60.5012224938875
"Alex Stapleton"	2011	60.8317073170732	60.5780487804878
"Alex Steyermark"	2003	60.8369829683698	60.5644768856448
"Alex Steyermark"	2006	60.8373786407767	60.4441747572816
"Alex Turner"	2004	60.7869249394673	60.4188861985472
"Alex van Warmerdam"	2014	60.8067632850242	60.4806763285024
"Alex Vlack"	2010	60.8843373493976	60.5759036144578
"Alex Winter"	2015	60.9086538461538	60.6274038461538
"Alex Zamm"	1997	60.8057553956835	60.5131894484412
"Alex Zamm"	2003	60.7105263157895	60.4641148325359
"Alexander Doulerain"	2012	60.6229116945107	60.3436754176611
"Alexander Hall"	1941	60.6761904761905	60.4380952380952
"Alexander Korda"	1933	60.70783847981	60.5320665083135
"Alexander Mackendrick"	1955	60.7701421800948	60.6255924170616
"Alexander Mackendrick"	1957	60.8439716312057	60.7139479905437
"Alexander Nevsky"	2017	60.75	60.6014150943396
"Alexander Olch"	2009	60.7647058823529	60.6611764705882
"Alexander Payne"	1996	60.7957746478873	60.706572769953
"Alexander Payne"	1999	60.8384074941452	60.7822014051522
"Alexander Payne"	2002	60.8691588785047	60.838785046729
"Alexander Payne"	2004	60.9090909090909	60.9207459207459
"Alexander Payne"	2007	60.9627906976744	60.9813953488372
"Alexander Payne"	2011	61.0046403712297	61.046403712297
"Alexander Payne"	2013	61.0555555555556	61.1157407407407
"Alexander Payne"	2017	60.9653579676674	61.0923787528868
"Alexander Witt"	2004	60.963133640553	61
"Alexandra Cassavetes"	2013	60.9103448275862	60.9954022988506
"Alexandra Lipsitz"	2006	60.9518348623853	61.0504587155963
"Alexandre Aja"	2005	60.9656750572082	61.0022883295195
"Alexandre Aja"	2006	60.958904109589	60.9771689497717
"Alexandre Aja"	2008	60.9202733485194	60.870159453303
"Alexandre Aja"	2010	60.8795454545455	60.9
"Alexandre Aja"	2014	60.8526077097506	60.8526077097506
"Alexandre Aja"	2016	60.7986425339367	60.8031674208145
"Alexandre Arcady"	2015	60.7878103837472	60.8442437923251
"Alexandre Bustillo"	2007	60.8198198198198	60.8941441441441
"Alexandre Bustillo"	2014	60.7685393258427	60.9303370786517
"Alexandre Bustillo"	2017	60.6883408071749	60.8632286995516
"Alexandre de la Patellière"	2013	60.7181208053691	60.8993288590604
"Alexandre Franchi"	2010	60.7772828507795	60.9755011135857
"Alexandre Moors"	2013	60.7555555555556	61.0266666666667
"Alexandre O. Philippe"	2011	60.7760532150776	61.0509977827051
"Alexandre O. Philippe"	2017	60.8252212389381	61.1128318584071
"Alexandre Rockwell"	1996	60.8432671081678	61.0088300220751
"Alexei Kaleina"	2010	60.8986784140969	61.0132158590308
"Alexis Bloom"	2017	60.9516483516484	61.0989010989011
"Alexis Dos Santos"	2009	60.9671052631579	61.1293859649123
"Alexis Gambis"	2014	60.8796498905908	61.0065645514223
"Alexis Lloyd"	2012	60.7794759825328	60.8842794759825
"Alexis Wajsbrot"	2017	60.7124183006536	60.797385620915
"Alexs Stadermann"	2015	60.6760869565217	60.7608695652174
"Alfonso Arau"	1992	60.7266811279826	60.826464208243
"Alfonso Arau"	1995	60.7575757575758	60.7813852813853
"Alfonso Cuarón"	1995	60.8164146868251	60.8596112311015
"Alfonso Cuarón"	1998	60.8534482758621	60.8103448275862
"Alfonso Cuarón"	2001	60.9118279569892	60.8774193548387
"Alfonso Cuarón"	2004	60.9656652360515	60.9420600858369
"Alfonso Cuarón"	2006	61.017130620985	61.0085653104925
"Alfonso Cuarón"	2007	61.0662393162393	61.0641025641026
"Alfonso Cuarón"	2013	61.1066098081023	61.138592750533
"Alfonso Gomez-Rejon"	2014	61.0617021276596	61.1574468085106
"Alfonso Gomez-Rejon"	2015	61.1146496815287	61.2016985138004
"Alfred E. Green"	1933	61.1567796610169	61.2838983050847
"Alfred E. Green"	1950	61.1395348837209	61.2875264270613
"Alfred Hitchcock"	1928	61.1115789473684	61.4189473684211
"Alfred Hitchcock"	1929	61.0859538784067	61.538784067086
"Alfred Hitchcock"	1930	61.0376569037657	61.6046025104603
"Alfred Hitchcock"	1931	60.9478079331942	61.5114822546973
"Alfred Hitchcock"	1932	60.8666666666667	61.5020833333333
"Alfred Hitchcock"	1935	60.9336099585062	61.6265560165975
"Alfred Hitchcock"	1937	60.9503105590062	61.7060041407868
"Alfred Hitchcock"	1938	61.0103092783505	61.859793814433
"Alfred Hitchcock"	1939	60.9588477366255	61.8456790123457
"Alfred Hitchcock"	1940	61	61.911704312115
"Alfred Hitchcock"	1941	61.0081799591002	61.9877300613497
"Alfred Hitchcock"	1942	61.0285714285714	62.030612244898
"Alfred Hitchcock"	1943	61.0875763747454	62.1079429735234
"Alfred Hitchcock"	1944	61.140243902439	62.1666666666667
"Alfred Hitchcock"	1948	61.1987829614604	62.237322515213
"Alfred Hitchcock"	1950	61.2105263157895	62.2914979757085
"Alfred Hitchcock"	1951	61.2727272727273	62.3636363636364
"Alfred Hitchcock"	1954	61.4024144869215	62.4909456740443
"Alfred Hitchcock"	1955	61.4729458917836	62.6112224448898
