Movie_name	Crtics_reviewer_count	Audience_reviewer_count
1019831-star_is_born	16	6241
101_dalmatians	46	708971
101_dalmatians_ii_patchs_london_adventure	6	10581
1020130-sting	55	61478
1020287-stranger	23	5159
1020333-streetcar_named_desire	55	54915
1020415-suddenly	7	1867
1020479-sundowners	9	7
1020488-sunshine_boys	21	2439
1020659-suspect	16	6757
1020660-suspicion	28	14652
1020664-svengali	6	5
1020684-sweet_bird_of_youth	16	1274
1020729-swing_time	21	7345
1020736-swiss_family_robinson	20	41438
1020814-tale_of_two_cities	10	2129
1020861-taming_of_the_shrew	20	7851
1020889-target	7	2394
1020897-tarzan_the_ape_man	19	3550
1021008-tempest	7	6
1021014-ten_commandments	6	7715
1021015-ten_commandments	33	60083
1021067-terror	14	4980
1021112-texas_chainsaw_massacre	58	202148
1021128-that_championship_season	5	
1021186-them	27	8652
1021214-they_drive_by_night	23	2362
1021230-thief	28	7102
1021242-thing	32	7900
1021244-thing	59	131041
1021269-this_gun_for_hire	14	2383
1021312-three_amigos	35	181011
1021339-three_musketeers	7	2319
1021340-three_musketeers	11	9662
1021500-time_machine	35	19408
1021558-to_be_or_not_to_be	17	3100
1021640-tom_thumb	5	3787
1021648-tommy	26	30183
1021681-toolbox_murders	5	2441
1021699-top_secret	34	41499
1021721-torso	7	1995
1021749-touch_of_evil	71	30936
1021964-treasure_island	5	8700
1022001-trial	30	6738
1022024-trip	16	2784
1022172-twelve_oclock_high	23	5983
1022191-twins	30	204083
1022314-uncommon_valor	9	6852
1022315-undefeated	6	6229
1022369-unfaithfully_yours	15	2310
1022537-venom	6	3069
1022570-vice_versa	14	8082
1022576-victory	6	10296
1022823-village_of_the_damned	24	9593
1023007-walking_tall	12	6718
1023093-war_and_peace	6	7747
1023205-warriors	37	75853
1023286-were_no_angels	19	8663
1023316-weird_science	28	124354
1023508-where_the_boys_are	7	2084
1023543-white_christmas	39	49892
1023739-winchester_73	21	5418
1023854-witness	37	46637
1023900-womans_face	5	7
1023906-women	23	6583
1024191-wrong_man	23	8123
1024192-wuthering_heights	20	8729
1024232-year_of_the_dragon	16	8444
1024237-yearling	14	3755
1024407-yours_mine_and_ours	12	57760
1028554-blue_steel	21	8699
1028561-where_the_heart_is	9	1982
1028564-guardian	9	4851
1028711-mystery_train	32	10504
1028715-revolution	20	3104
1029042-henry_v	34	13376
1029072-kiss_of_death	15	2034
1029112-alice_in_wonderland	28	574066
1029261-state_fair	5	6691
1029314-dick_tracy	46	77143
1029408-bombshell	9	3
1029427-navy_seals	31	19908
1029529-church	11	2455
1029830-witches	33	59346
1029895-goodbye_mr_chips	5	2
102_dalmatians	90	406490
1030142-champ	6	9
1030146-narrow_margin	12	2793
1030244-red_dust	7	5
1030864-desperate_hours	11	3273
1031086-ghost	66	469327
1031087-memphis_belle	22	29745
1031274-faust	18	5545
1031278-gun_crazy	34	3222
1031385-jungle_book	37	714774
1031440-long_goodbye	31	10177
1031458-houdini	13	1
1031472-avalon	23	3221
1031635-rookie	14	20552
1031645-ash_wednesday	8	7
1031744-long_walk_home	15	5406
1031763-anastasia	10	13689
1031766-jane_eyre	11	5812
1031984-pit_and_the_pendulum	9	2239
1032176-goodfellas	89	427881
1032180-after_hours	51	21942
1032182-white_fang	19	39876
1032409-boy_meets_girl	9	6
1032518-mata_hari	7	1341
1032522-alice	26	6834
1032750-hidden_agenda	18	6
1032795-connection	16	1
1032798-entertainer	10	1157
1032814-sorry_wrong_number	21	4871
1032970-awakenings	34	54967
1032980-diabolique	41	10200
1033465-true_colors	15	4931
1034067-switch	18	6943
1034131-field	14	2790
1034151-oscar	16	21033
1035050-night_nurse	7	0
1035061-fury	13	3059
1035065-possessed	8	1223
1035316-born_to_kill	5	4
1035639-toy_soldiers	14	39396
1035795-slither	5	2
1036052-come_and_see	21	8351
1036129-miracle	9	
1036179-hot_shots	24	157550
1036420-party_girl	10	6
1036553-hitman	8	5270
1036653-teachers_pet	6	3146
1036747-ricochet	16	10346
1036952-shattered	13	4358
1036976-romeo_and_juliet	8	6
1037015-doctor	15	3327
1037017-paradise	11	3737
1037161-frankie_and_johnny	18	21567
1037177-deceived	17	3734
